	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
BAG3	3.4763904	6.5617394	5.107235	5.8285885	5.4372563	1.6915852999999998	2.7247077999999996	2.9355035	3.1457145	2.6299522	3.2898623999999996	3.3673987000000003	3.2764916	2.0391898	5.0053883	4.533616	2.2539822999999997	2.757028	3.9259896	4.5279713	6.701417	1.875834	2.5059025000000004	3.1243557999999996	2.7676876	3.111082	2.0356338	1.9818863000000002	2.990955	2.176366	4.4705267	2.9279428	2.6576767000000006	3.3074725	2.3074434	4.148929	3.5260816	2.4005265	2.1440650000000003	3.3505199999999995	4.818605000000001	2.4462585	2.4828672000000003	6.788201299999999	3.1243557999999996	2.1276843999999997	2.1827579	3.003641	3.3190758000000002	1.636943	3.1731594	2.4828672000000003	2.6392662999999996	2.899232	3.6461797	3.5897763	1.8359431	2.9523847	2.3191085	2.906943	2.4515689999999997	2.6111912999999998	3.7115480000000005	2.275051	3.6668047999999995	2.8319256	3.0461872000000003	3.4867706	3.6949286	1.8278862
RPS4Y1	7.9223539999999995	8.329288	8.421011	7.5141067999999995	0.54605496	0.0	6.956552	0.07052474	6.7507470000000005	0.0	6.375565	8.469972	0.17644595	0.0	0.0	0.0	0.0	0.0	7.0786036999999995	8.307557000000001	8.297787	8.177986	8.625455	0.0	8.731096	0.0	4.788714	0.124459624	7.884015	0.042784035	6.4521565	0.0	1.1441122	0.35624728	6.3166970000000005	6.304848000000001	6.194911	0.0	7.3548326	5.5394296999999995	7.3242226	0.41153392	0.0	7.7333894	0.042784035	0.0	5.6630316	0.0	0.042784035	0.08420307	0.0	0.11116745	5.1638775	6.4677773	8.273166999999999	7.5953726999999995	4.951841	6.8542122999999995	5.340227	0.0	0.0	5.7912655	7.720451	7.6117883	5.7308984	0.0	6.930862400000001	6.828439	0.0	0.13763218
TBC1D3D	0.124459624	1.0566703000000002	2.4329605	0.15068647	0.014497611	0.028709901	4.121012	0.11116745	0.0	3.8952756	3.5260816	0.0	0.25107563	0.3786144	0.13763218	0.0	0.0	2.8519787999999995	0.20175661	2.9523847	1.9598305	0.08420307	1.7005076000000001	0.07052474	3.8590202000000007	0.38968015	0.45428359999999995	0.6960961999999999	5.148909	2.9355035	0.9486982	3.1276321	2.4168446	3.1358721000000003	4.495747	4.695432	0.17644595	0.08420307	0.20175661	5.0789865999999995	5.507147	0.07052474	0.0	1.8875689999999998	3.7441862	0.0	3.1177167999999997	3.218777	0.17644595	4.1301575	0.0	0.21424463	0.097748086	0.18916444	4.5354342	2.695983	0.9336372	0.2987822	5.535712	0.20175661	0.0	0.0	0.0	1.1635615	1.7613178	2.8460355	4.0600133000000005	0.89538705	2.3219886	0.0
MGARP	1.6508208999999998	4.687645400000001	0.76562524	2.4854136000000002	3.6859796	0.5754108	0.32205167	2.4141626	0.5361526	0.73994064	0.59464574	1.7613178	1.0635976	1.618267	0.38968015	1.9635481	0.5656918000000001	1.5110093	1.875834	1.4594975000000001	1.2203858	0.73994064	1.4751447	1.1506448999999999	0.9635396999999999	2.166716	0.34494959999999997	1.5558652	3.9020865	1.7866592000000001	0.8400183000000001	1.0144353000000002	0.90309465	1.2570579	1.3896316999999998	1.2987429	1.8359431	1.6645558999999996	1.1375494	1.2750628000000002	1.6870991000000002	1.3334688000000001	2.4828672000000003	1.0841396	1.7005076000000001	0.8480885	1.1177393	0.8797943000000001	1.2203858	0.7049559	3.0703888	0.8480885	1.5059485000000001	1.3449053999999998	3.8155847	1.049722	2.2600729999999998	0.9108029000000001	0.77407175	1.1375494	3.6949286	2.5728972000000003	1.9671944	1.6690792	0.90309465	2.8176662999999995	0.8560810999999999	3.4982522000000005	0.6871335	0.80744386
EXOC4	4.6780343	4.6352015	5.7800720000000005	5.6633260000000005	5.34764	4.4601192	5.545986	8.555535	4.9639387	7.122283	5.5226016	6.0988846	5.1155862999999995	6.4319916	5.980707	4.9986067	5.573197400000001	5.814344999999999	6.342473	10.132984	7.731398599999999	8.807819	6.187612000000001	5.4698944	6.292999999999999	6.521179	5.2953795999999995	8.046063	5.970866	5.622949	5.527004	5.689896	5.451912	5.361103	5.6188345	5.8102193	5.048331	6.017228	5.7920513	4.9694567	7.3028580000000005	7.1994405	7.077214	4.5509405	5.8760533	5.2539763	7.542750999999999	5.640979	5.7194199999999995	5.6530337	7.425807000000001	5.622949	8.32889	5.5713367	4.8017282	4.164316	5.0682160000000005	5.0591935999999995	6.434462	5.3572	5.9818883000000005	5.413423000000001	4.887053	6.964091000000001	5.2817373	5.5726094	5.2253532	7.41348	5.9936996	7.560456299999999
PLK1	4.28908	1.7949808	4.698797	3.0652797	1.5607548	4.189069	5.523873	1.5460458000000001	4.488007	6.387817	4.799607	1.9635481	4.522901	5.588569000000001	4.7697306	1.8359431	4.791798	4.6707315000000005	3.7125642	3.111082	3.1683583	4.145721	5.7059809999999995	4.292781400000001	4.8384805	5.5746655	5.054441000000001	4.8885026	2.7398314	4.961616	4.788714	5.3441279999999995	5.242583799999999	5.2581635	5.1858525	5.2589426	4.517258	4.7739697	4.864449	5.6585225999999995	2.8679327999999997	4.2226467	0.8480885	4.7881355	4.234196	5.3312545	4.303792	5.3722267	5.3344727	5.2723846	3.6229150000000003	4.2433834	5.082771299999999	5.2075458	4.401182700000001	6.235754	5.427976	4.4215784000000005	5.533265	3.9690106	5.919316	3.9699470000000003	4.7042785	4.370141	5.5846524	5.029908	5.28544	4.886087	4.257785	4.945842
CENPF	4.3291535	0.32205167	4.775607599999999	2.5410169999999996	0.9486982	4.9387784	6.4378233	2.8114889	5.849517	5.9481373	5.959747	2.350545	4.643264299999999	6.4849825	5.520449	0.80744386	6.2909274	5.870844	3.9126341	2.548476	3.4501991000000003	4.9443903	6.8764205	3.3205156000000002	5.435302	7.1985470000000005	6.195897	6.019	0.6600121	5.967619	4.9895983	6.0119114	6.558078299999999	6.1233262999999996	5.8887353	5.503039	4.8996162000000005	5.505875	5.6707764	6.3833704000000004	2.3701974999999997	5.3233559999999995	1.0909218	4.482848000000001	5.123939	6.0175233	5.685091000000001	6.556595	5.451521	5.8175864	4.6524816	5.046584999999999	6.2890515	5.834679599999999	5.2835884	7.9285283	7.852151400000001	5.6693052999999995	5.739828	3.7516837	6.998219000000001	4.9141164	6.476083	6.264176	6.302675700000001	5.943710299999999	6.229044999999999	7.037613	5.7543526	6.1460977
WLS	2.1505704	4.586766000000001	3.9909291	2.6893039	6.4891357	2.6346498	2.8816669999999998	2.1009912	2.7527682999999996	2.650778	2.5286033	1.8679093	3.8419877999999996	1.3618348	1.2570579	5.6792083	2.3978515	2.8156068	3.2172593999999997	4.85798	3.2433507	1.8520371	2.1342453999999997	4.2117643	3.7495546	2.6276045	2.3391377999999996	0.9561472	2.0143566	2.1858785	3.1874849999999997	2.9297671000000003	2.7355804	2.292776	2.0738373	2.526123	2.3757667999999996	2.2720363	2.021513	1.6229928	2.6252575	2.5286033	2.4828672000000003	3.1060423999999998	2.9126656000000004	1.4803389999999998	1.9336054	3.2433507	1.1441122	1.438321	2.0391898	2.1699827000000003	2.0426729	2.313273	4.776089	2.6017451	1.7697916	3.0461872000000003	1.8032506000000001	3.0018027000000003	2.5849729	1.8953143	2.7655543999999996	2.0391898	2.238825	2.1243687	2.3561764	4.2172523	1.4115105	2.35336
VIP	2.9927914	2.1243687	0.5754108	1.2079737	6.37191	0.17644595	1.6229928	1.0286552	0.6781482	0.32205167	2.5753107	1.8480612	2.292776	0.94119436	0.3786144	5.3222833	0.07052474	1.0144353000000002	0.9336372	1.2928126	2.003606	5.2697544	1.0286552	1.1243893999999999	2.4356506	0.9561472	5.0695744000000005	2.392343	1.2750628000000002	0.2751237	0.7485361999999999	0.7908371	0.8400183000000001	0.9855609000000001	0.33353373	0.23891501	0.94119436	0.6323526999999999	0.8480885	0.78250456	1.0635976	3.8923836000000005	8.0107	0.3786144	1.1570913999999999	0.65087	1.0566703000000002	0.6781482	0.45428359999999995	0.62302387	4.2023997	0.9260758	1.4699608999999998	0.89538705	1.1441122	5.597873	0.34494959999999997	1.875834	0.3674849	1.8953143	0.9336372	0.9561472	2.0000036	1.3104153	0.8156711	2.3191085	1.5160798999999998	2.060053	0.8797943000000001	0.31045547
RGPD1	0.33353373	1.6553924999999998	4.4189086	0.77407175	0.59464574	0.097748086	0.0	0.07052474	0.6781482	0.0	0.31045547	3.0635187999999998	0.64164835	0.07052474	0.33353373	1.3162155	0.64164835	1.9486238	1.1506448999999999	2.3646336	0.124459624	0.15068647	0.49579449999999997	0.2987822	0.6691063	0.64164835	0.0	0.124459624	1.7527944	0.77407175	0.2751237	0.83196074	1.4330235	0.8400183000000001	2.6461546	0.49579449999999997	3.2780166	2.914574	1.5008324	0.90309465	0.0	0.18916444	0.13763218	2.0250578000000004	0.89538705	3.1489089	2.5921442999999997	1.6826189999999999	3.7071147000000004	0.26316009999999995	0.33353373	1.182776	0.6600121	0.4751773	0.5754108	0.32205167	0.21424463	1.2016847	0.83196074	3.0874949000000003	0.49579449999999997	1.2510145000000001	0.6871335	0.028709901	0.34494959999999997	0.2751237	3.6848729	1.8440174999999999	0.31045547	0.0
MIPEP	3.7856007000000007	3.5885842000000006	5.419185	5.5846524	2.5033484	2.6758783	5.4679394	3.9069392999999994	4.2615767	3.5185032	3.7377093	2.5410169999999996	2.032156	4.118562	2.9030432999999998	2.0426729	2.4087207000000004	4.8006673	2.35336	3.1874849999999997	3.17476	3.1810763	3.636888	1.9745712	5.933381	3.4633799	3.0444293	3.5385067	2.9837008	4.4718633	4.9657784000000005	2.8560293	2.5160465	5.4577756	2.0143566	2.653049	7.978526	2.2357514	2.5728972000000003	6.1499424000000005	2.4409522999999997	2.9726982000000004	2.8114889	2.9279428	2.6040845	2.9011374	4.8227525	2.5873902	7.149488000000001	2.989119	2.7949514	1.9069613	2.9653702	6.3132410000000005	4.3291535	2.9523847	3.1193984	5.6481330000000005	6.137521	5.5369835	2.2047992	5.683718	3.1060423999999998	3.5607336000000003	5.0125585	1.9145979	2.3016197999999997	3.5534127	2.2234745	2.6803508
FRMPD1	0.8400183000000001	1.2141696000000002	0.42232955	1.0635976	2.2357514	0.35624728	1.2265648999999998	1.8797659	0.44372052	2.2570662	0.40063623	0.71378523	0.07052474	1.2388668999999999	1.1699992000000001	1.4060217	0.55591464	0.38968015	1.7485055	1.4168863999999999	1.2690823999999998	3.1521926	1.0000511	0.7571259	1.2265648999999998	1.0704504	0.9486982	0.43305513	2.1144347000000003	0.5161281	0.42232955	1.1310111	1.049722	1.0286552	0.78250456	0.5754108	1.1699992000000001	1.1177393	0.49579449999999997	1.1441122	0.9635396999999999	2.4956913	2.6893039	0.097748086	0.41153392	0.46478304	1.4594975000000001	0.3674849	0.097748086	0.90309465	2.4541852000000004	0.72254187	2.8032591	0.7485361999999999	0.76562524	0.2751237	0.32205167	0.8797943000000001	0.41153392	1.2327062	0.40063623	1.1375494	1.0773331	1.2631196000000002	0.8400183000000001	1.2016847	0.62302387	1.3162155	0.40063623	0.5161281
F2RL1	0.48553726	2.1985368999999997	4.2615767	0.71378523	0.5656918000000001	1.0704504	0.49579449999999997	0.2751237	0.6871335	1.0215281999999999	1.9561163000000001	0.82382965	2.381341	0.25107563	0.46478304	1.1243893999999999	0.6600121	0.6691063	0.31045547	2.2570662	1.33921	1.33921	0.9782476000000001	1.2810018	2.2141287	0.80744386	0.6600121	0.6041816	0.6136315999999999	0.50599486	0.64164835	1.3045712	0.73994064	0.23891501	0.77407175	0.2987822	0.41153392	0.73994064	0.6781482	0.8640384	0.5656918000000001	2.226541	1.6276582	1.5849965	1.4542183000000002	0.9635396999999999	0.72254187	0.9486982	0.08420307	0.22663648	0.52618414	0.7312613	1.2449315	0.7991509	2.618221	1.0215281999999999	0.6323526999999999	1.9486238	0.77407175	0.49579449999999997	1.3618348	1.7137631000000002	0.8797943000000001	0.90309465	0.58506453	1.5753416	0.71378523	0.3786144	0.7312613	1.0357134
TERT	1.1310111	1.9486238	5.9756885	1.400608	0.0	0.07052474	2.8359669999999997	0.028709901	3.4931483	4.286139	1.0909218	0.0	2.7928972	0.014497611	2.8659477000000004	1.5008324	2.1077466	4.5945295999999995	0.07052474	0.6136315999999999	0.26316009999999995	3.014414	2.4880432999999997	0.0	0.028709901	2.8032591	0.9108029000000001	0.7312613	0.07052474	0.9782476000000001	4.265274	0.17644595	0.15068647	0.16362981	0.22663648	4.147325	0.4751773	0.07052474	0.55591464	0.31045547	1.3505546	0.042784035	0.2751237	0.028709901	2.6780720000000002	0.41153392	0.15068647	3.7813343999999995	0.028709901	4.229557	0.028709901	0.21424463	0.0	0.20175661	2.9855356	2.577725	2.032156	0.21424463	0.08420307	0.44372052	0.0	0.028709901	1.9145979	1.9336054	0.07052474	0.0	3.2063751	0.0	0.9635396999999999	1.6041348
LIMS1	4.460788	6.1547737	6.6261660000000004	4.2311664	4.934522	3.112674	4.321172	4.1301575	3.4880459999999998	4.3052163	6.129043599999999	4.6258919999999994	4.2585435	3.2645686	4.465943299999999	4.1448717	4.223404	3.5801506	4.257785	5.241804599999999	5.749543	4.019719	3.7452042000000003	3.8409646	5.2310963	4.5090346	3.5185032	3.288336	4.116017299999999	3.418162	2.9763644	3.8807282	3.5059116	3.4263232000000006	3.752795	5.260403599999999	4.411474	4.569230999999999	3.5422550000000004	3.6028953	3.838918	3.9699470000000003	3.9827774	6.6726985	4.5722966	3.4776647000000005	3.9136610000000003	3.636888	3.8866017	3.0321317000000003	4.2986655	3.5692483999999998	4.106878	3.4396633999999997	4.1714934999999995	3.7844877	3.1537902	3.6803536	3.6747303	4.0686636	4.2156434	3.17476	3.7181077000000005	3.8309202000000004	3.3117886	3.8738312999999995	2.8757908	5.689602	5.304540599999999	5.2168865
RAB34	3.7430756	6.51475	5.3359356	4.0746837	7.0230255	3.752795	4.3448377	4.663910400000001	4.274282	4.3611016	4.5109468	3.7048984	4.016153299999999	3.2570443	5.58103	6.136732	3.2570443	5.0188584	3.8166067999999997	5.366371599999999	5.716673	3.1077220000000003	2.9690335	4.3547277	4.1739497000000005	4.8394455999999995	3.1424327	3.5471926	3.266092	3.0125740000000003	6.366278599999999	3.9542239	3.9542239	4.294964299999999	2.757028	3.9097397000000003	3.6792474000000004	3.1602726000000003	3.6792474000000004	3.0426714	3.4803050000000004	3.9448705000000004	3.4289541	6.0662727	4.500144000000001	3.1342769	2.7718697	5.7694693	3.0548935	3.8529690000000003	6.268123999999999	3.6633961000000004	6.6828975999999995	3.8369648	5.3822794	6.302281	3.1060423999999998	4.187462	3.3575578	4.146476	3.4019443999999996	6.405801	6.038005	3.6621989999999998	4.536678299999999	5.682542	4.0008655	6.413509400000001	2.6438859	3.1683583
CACNG7	4.968973	1.4060217	4.2787394999999995	1.8115393	2.4594207000000003	0.0	4.782931	3.7687269999999997	1.1441122	3.1342769	2.4141626	2.6461546	1.4168863999999999	0.0	5.8194532	0.6600121	0.0	3.7907957999999997	1.5361298	0.11116745	3.3348334000000004	0.21424463	0.0	3.6017019999999995	0.0	3.8489668	0.097748086	2.2539822999999997	4.473774	5.064821	0.014497611	1.0286552	3.2599998	4.330579	0.014497611	2.4880432999999997	4.157896	0.124459624	0.0	2.648508	2.5160465	2.9448977000000003	3.220384	1.6690792	0.62302387	4.2433834	4.893333999999999	0.33353373	3.524803	4.7042785	5.614426	4.828831	5.714220500000001	2.281006	0.124459624	4.1135674	3.7344718	0.0	4.016998	0.124459624	4.1408153	0.0	0.87191325	0.17644595	0.042784035	0.028709901	4.1408153	1.7137631000000002	4.5533338	4.5837946
